"x"	"tan(x)"
0.000000,0.000000
0.034907,0.034921
0.069813,0.069927
0.104720,0.105104
0.139627,0.140541
0.174533,0.176327
0.209440,0.212557
0.244347,0.249329
0.279253,0.286746
0.314160,0.324921
0.349067,0.363971
0.383973,0.404027
0.418880,0.445230
0.453787,0.487734
0.488693,0.531711
0.523600,0.577352
0.558507,0.624871
0.593413,0.674511
0.628320,0.726545
0.663227,0.781288
0.698133,0.839102
0.733040,0.900407
0.767947,0.965692
0.802853,1.035534
0.837760,1.110617
0.872667,1.191759
0.907573,1.279947
0.942480,1.376388
0.977387,1.482568
1.012293,1.600343
1.047200,1.732061
1.082107,1.880738
1.117013,2.050317
1.151920,2.246053
1.186827,2.475107
1.221733,2.747502
1.256640,3.077714
1.291547,3.487454
1.326453,4.010834
1.361360,4.704704
1.396267,5.671390
1.431173,7.115543
1.466080,9.514678
1.500987,14.301388
1.535893,28.639202
1.570800,-272241.808393
1.605707,-28.633171
1.640613,-14.299878
1.675520,-9.514006
1.710427,-7.115163
1.745333,-5.671146
1.780240,-4.704534
1.815147,-4.010708
1.850053,-3.487358
1.884960,-3.077637
1.919867,-2.747439
1.954773,-2.475054
1.989680,-2.246009
2.024587,-2.050279
2.059493,-1.880705
2.094400,-1.732031
2.129307,-1.600317
2.164213,-1.482545
2.199120,-1.376367
2.234027,-1.279928
2.268933,-1.191741
2.303840,-1.110600
2.338747,-1.035519
2.373653,-0.965678
2.408560,-0.900394
2.443467,-0.839090
2.478373,-0.781276
2.513280,-0.726534
2.548187,-0.674500
2.583093,-0.624861
2.618000,-0.577342
2.652907,-0.531701
2.687813,-0.487725
2.722720,-0.445221
2.757627,-0.404019
2.792533,-0.363963
2.827440,-0.324912
2.862347,-0.286738
2.897253,-0.249321
2.932160,-0.212549
2.967067,-0.176320
3.001973,-0.140534
3.036880,-0.105097
3.071787,-0.069920
3.106693,-0.034913
3.141600,0.000007
3.176507,0.034928
3.211413,0.069934
3.246320,0.105112
3.281227,0.140549
3.316133,0.176335
3.351040,0.212565
3.385947,0.249336
3.420853,0.286754
3.455760,0.324929
3.490667,0.363979
3.525573,0.404036
3.560480,0.445239
3.595387,0.487743
3.630293,0.531720
3.665200,0.577362
3.700107,0.624881
3.735013,0.674521
3.769920,0.726556
3.804827,0.781300
3.839733,0.839115
3.874640,0.900420
3.909547,0.965706
3.944453,1.035549
3.979360,1.110633
4.014267,1.191776
4.049173,1.279967
4.084080,1.376410
4.118987,1.482592
4.153893,1.600369
4.188800,1.732090
4.223707,1.880771
4.258613,2.050356
4.293520,2.246097
4.328427,2.475159
4.363333,2.747565
4.398240,3.077791
4.433147,3.487551
4.468053,4.010959
4.502960,4.704874
4.537867,5.671634
4.572773,7.115922
4.607680,9.515351
4.642587,14.302898
4.677493,28.645237
4.712400,-90747.269461
4.747307,-28.627142
4.782213,-14.298368
4.817120,-9.513334
4.852027,-7.114784
4.886933,-5.670903
4.921840,-4.704364
4.956747,-4.010583
4.991653,-3.487261
5.026560,-3.077560
5.061467,-2.747376
5.096373,-2.475002
5.131280,-2.245964
5.166187,-2.050241
5.201093,-1.880671
5.236000,-1.732002
5.270907,-1.600291
5.305813,-1.482521
5.340720,-1.376346
5.375627,-1.279908
5.410533,-1.191723
5.445440,-1.110584
5.480347,-1.035504
5.515253,-0.965664
5.550160,-0.900381
5.585067,-0.839077
5.619973,-0.781264
5.654880,-0.726522
5.689787,-0.674489
5.724693,-0.624851
5.759600,-0.577332
5.794507,-0.531692
5.829413,-0.487716
5.864320,-0.445212
5.899227,-0.404010
5.934133,-0.363955
5.969040,-0.324904
6.003947,-0.286730
6.038853,-0.249313
6.073760,-0.212542
6.108667,-0.176312
6.143573,-0.140526
6.178480,-0.105090
6.213387,-0.069912
6.248293,-0.034906
6.283200,0.000015
